Season,Year,Name,Age,Hometown,Occupation,Eliminated
17,2013,Kristy Kaminski,25,"Darien, Wisconsin",Model,Eliminated in episode 3
17,2013,Taryn Renee Daniels,30,"Troutdale, Oregon",Health Club Manager,Eliminated in episode 3
17,2013,Kacie Boguskie,25,"Clarksville, Tennessee",See below,Eliminated in episode 3
17,2013,Brooke Burchette,25,"Pittsburgh, Pennsylvania",Community Organizer,Eliminated in episode 2
17,2013,Diana Weeks Willardson,31,"Salt Lake City, Utah",Salon Owner,Eliminated in episode 2
17,2013,Katie Levans,27,"Woodstock, Illinois",Yoga Instructor,Quit in episode 2
17,2013,Ashley Harper,25,"Garner, North Carolina",Fashion Model,Eliminated in episode 1
17,2013,Ashley Palenkas,28,"Macomb, Michigan",Hair Stylist,Eliminated in episode 1
17,2013,Kelly Dutton,28,"Nashville, Tennessee",Cruise Ship Entertainer,Eliminated in episode 1
17,2013,Keriann Miranda,29,"Agoura Hills, California",Entrepreneur,Eliminated in episode 1
17,2013,Lacey Latka,24,"Valencia, California",Graduate Student,Eliminated in episode 1
17,2013,Lauren Marchetti,27,"Cranston, Rhode Island",Journalist,Eliminated in episode 1
17,2013,Paige Vigil,25,"New York City, New York",Jumbotron Operator,Eliminated in episode 1
18,2014,Nikki Ferrell,26,"Kearney, Missouri",Pediatric Nurse,Winner
18,2014,Clare Crawley,32,"Sacramento, California",Hairstylist,Runner-up
18,2014,Andi Dorfman,26,"Atlanta, Georgia",Assistant District Attorney,Quit in episode 9
18,2014,Renee Oteri,32,"Martha's Vineyard, Massachusetts",Real Estate Agent,Eliminated in episode 8
18,2014,Chelsie Webster,24,"Lexington, Ohio",Science Educator,Eliminated in episode 7
18,2014,Sharleen Joynt,29,"Ottawa, Ontario",Opera Singer,Withdrew in episode 7
18,2014,Kat Hurd,29,"Iowa City, Iowa",Medical Sales Representative/NBA Dancer,Eliminated in episode 6
18,2014,Cassandra Ferguson,22,"Shelby Charter Township, Michigan",Former NBA Dancer,Eliminated in episode 6
18,2014,Alli Restko,26,"Orland Park, Illinois",Nanny,Eliminated in episode 5
18,2014,Danielle Ronco,25,"Litchfield, Illinois",Psychiatric Nurse,Eliminated in episode 5
18,2014,Kelly Travis,27,"Conyers, Georgia",Dog Lover,Eliminated in episode 5
18,2014,Elise Mosca,27,"Forty Fort, Pennsylvania",First Grade Teacher,Eliminated in episode 4
18,2014,Lauren Solomon,26,"Austin, Texas",Music Composer,Eliminated in episode 4
18,2014,Christy Hansen,24,"Aurora, Illinois",Marketing Manager,Eliminated in episode 3
18,2014,Lucy Aragon,25,"Santa Barbara, California",Free Spirit,Eliminated in episode 3
18,2014,Amy Long,27,"Clermont, Florida",Local News Reporter,Eliminated in episode 2
18,2014,Chantel Forrest,27,"Miami, Florida",Account Manager,Eliminated in episode 2
18,2014,Victoria Lima,24,"Porto Alegre, Brazil",Legal Assistant,Eliminated in episode 2
18,2014,Alexis Morgado,24,"Tampa, Florida",Communications Director/NHL Ice Girl,Eliminated in episode 1
18,2014,Amy Jokinen,31,"Apopka, Florida",Massage Therapist,Eliminated in episode 1
18,2014,Ashley Poe,25,"Roanoke, Texas",Grade School Teacher,Eliminated in episode 1
18,2014,Christine Llano,23,"Miami, Florida",Police Support Specialist,Eliminated in episode 1
18,2014,Kylie Lewis,23,"Rockford, Illinois",Interior Designer,Eliminated in episode 1
18,2014,Lacy Faddoul,25,"Antelope Acres, California",Nursing Home Owner,Eliminated in episode 1
18,2014,Lauren Higginson,25,"Edmond, Oklahoma",Mineral Coordinator,Eliminated in episode 1
18,2014,Maggie Gantt,25,"Wagener, South Carolina",Personal Banker,Eliminated in episode 1
18,2014,Valerie Eredia,26,"Sutter, California",Personal Trainer,Eliminated in episode 1
19,2015,Ashley Iaconetti,26,"Great Falls, Virginia",Nanny/Freelance Journalist,
19,2015,Becca Tilley,26,"Shreveport, Louisiana",Chiropractic Assistant,
19,2015,Britt Nilsson,27,"Hollywood, California",Waitress,
19,2015,Carly Waddell,29,"Arlington, Texas",Cruise Ship Singer,
19,2015,Jade Roper,28,"Los Angeles, California",Cosmetics Developer,
19,2015,Kaitlyn Bristowe,29,"Leduc, Alberta",Dance Instructor,
19,2015,Kelsey Poe,28,"Hudsonville, Michigan",Guidance Counselor,
19,2015,Mackenzie Deonigi,21,"Maple Valley, Washington",Dental Assistant,
19,2015,Megan Bell,24,"Nashville, Tennessee",Make-Up Artist,
19,2015,Samantha Steffen,27,"Indianapolis, Indiana",Fashion Designer,
19,2015,Whitney Bischoff,29,"Chicago, Illinois",Fertility Nurse,
19,2015,Ashley Salter,24,"Brooklyn, New York",Hair Stylist,Eliminated in episode 4
19,2015,Juelia Kinney,30,"Portland, Oregon",Esthetician,Eliminated in episode 4
19,2015,Nikki Delventhal,26,"New York, New York",Former NFL Cheerleader,Eliminated in episode 4
19,2015,Jillian Anderson,25,"Howland, Ohio",News Producer,Eliminated in episode 4
19,2015,Amber James,29,"Kankakee, Illinois",Bartender,Eliminated in episode 3
19,2015,Tracy Darakis,29,"Wellington, Florida",Fourth Grade Teacher,Eliminated in episode 3
19,2015,Trina Scherenberg,33,"Algonquin, Illinois",Special Education Teacher,Eliminated in episode 3
19,2015,Alissa Giambrone,24,"Hamilton, New Jersey",Flight Attendant,Eliminated in episode 2
19,2015,Jordan Branch,24,"Windsor, Colorado",Student,Eliminated in episode 2
19,2015,Kimberly Sherbach,28,"Wantagh, New York",Yoga Instructor,Eliminated in episode 2
19,2015,Tandra Steiner,30,"Sandy, Utah",Executive Assistant,Eliminated in episode 2
19,2015,Tara Eddings,26,"Fort Lauderdale, Florida",Sport Fishing Enthusiast,Eliminated in episode 2
19,2015,Amanda Goerlitz,24,"Lake in the Hills, Illinois",Ballet Teacher,Eliminated in episode 1
19,2015,Bo Stanley,25,"Carpinteria, California",Plus-Size Model,Eliminated in episode 1
19,2015,Brittany Fetkin,26,"Orlando, Florida",WWE Diva-in-Training,Eliminated in episode 1
19,2015,Kara Wilson,25,"Brownsville, Kentucky",High School Soccer Coach,Eliminated in episode 1
19,2015,Michelle Davis,25,"Provo, Utah",Wedding Cake Decorator,Eliminated in episode 1
19,2015,Nicole,31,"Scottsdale, Arizona",Real Estate Agent,Eliminated in episode 1
19,2015,Reegan Cornwell,28,"Manhattan Beach, California",Cadaver Tissue Saleswoman,Eliminated in episode 1
